        0.01         0.01 0.000000 0.000000
        0.01         0.02 0.000000 0.000000
        0.01         0.03 0.000000 0.000000
        0.01         0.04 0.000000 0.000000
        0.01         0.05 0.000000 0.000000
        0.01         0.06 0.000000 0.000000
        0.01         0.07 0.000000 0.000000
        0.01         0.08 0.000000 0.000000
        0.01         0.09 0.000000 0.000000
        0.01          0.1 0.000000 0.000000
        0.01         0.11 0.000000 0.000000
        0.01         0.12 0.000000 0.000000
        0.01         0.13 0.000000 0.000000
        0.01         0.14 0.000000 0.000000
        0.01         0.15 0.000000 0.000000
        0.01         0.16 0.000000 0.000000
        0.01         0.17 0.000000 0.000000
        0.01         0.18 0.000000 0.000000
        0.01         0.19 0.000000 0.000000
        0.01          0.2 0.000000 0.000000
        0.01         0.21 0.000000 0.000000
        0.01         0.22 0.000000 0.000000
        0.01         0.23 0.000000 0.000000
        0.01         0.24 0.000000 0.000000
        0.01         0.25 0.000000 0.000000
        0.01         0.26 0.000000 0.000000
        0.01         0.27 0.000000 0.000000
        0.01         0.28 0.000000 0.000000
        0.01         0.29 0.000000 0.000000
        0.01          0.3 0.000000 0.000000
        0.01         0.31 0.000000 0.000000
        0.01         0.32 0.000000 0.000000
        0.01         0.33 0.000000 0.000000
        0.01         0.34 0.000000 0.000000
        0.01         0.35 0.000000 0.000000
        0.01         0.36 0.000000 0.000000
        0.01         0.37 0.000000 0.000000
        0.01         0.38 0.000000 0.000000
        0.01         0.39 0.000000 0.000000
        0.01          0.4 0.000000 0.000000
        0.01         0.41 0.000000 0.000000
        0.01         0.42 0.000000 0.000000
        0.01         0.43 0.000000 0.000000
        0.01         0.44 0.000000 0.000000
        0.01         0.45 0.000000 0.000000
        0.01         0.46 0.000000 0.000000
        0.01         0.47 0.000000 0.000000
        0.01         0.48 0.000000 0.000000
        0.01         0.49 0.000000 0.000000
        0.01          0.5 0.000000 0.000000
        0.01         0.51 0.000000 0.000000
        0.01         0.52 0.000000 0.000000
        0.01         0.53 0.000000 0.000000
        0.01         0.54 0.000000 0.000000
